Company Name,Email(s)
CHARUSAT SPACE RESEARCH CENTER,jitendrachaudhari@charusat.ac.in
CITADEL,hr@citadel.edu
CODAL SYSTEM,go@codal.com
CODE EXPERT SOLUTION ,codexpertsolutions@gmail.com
CODENTIC SOFTWARE ,info@codenticsoftware.com
CODESKET PVT LTD,info@upmetrics.co
CODINGZEN,info@codingzen.in
CONCORDINSIGHT,info@concordinsight.com
CONVERSIOS,info@conversios.io
COVRIZE IT,info@covrize.com
CRAFTBOX TECHNOLOGY,hr@craftbox.in
CREST DATA SYSTEMS,careers@crestdata.ai
CREST INFOSYSTEM,hr@crestinfosystems.com
CRYSTAL CUBE,info@crystalcubeinfotech.com
CSRTC,jitendrachaudhari@charusat.ac.in
CYGBIT IT SOLUTIONS,info@cygbit.com
DATAGROKR ANALYTICS PRIVATE LIMITED,hello@datagrokr.co
DEDIKH TECHNOLOGIES PRIVATE LIMITED,contact@dedikh.com
DEVKRUTI TECH,info@devkrutitech.com
DEVOTEE INFOTECH,hr@devoteeinfotech.com
DHARAMSI MORARJI CHEMICAL CO. LTD.,jobs@dmcc.com
DHYEY TECHNOLOGIES OPC PVT LTD,info@dhyeytech.com
DIGIKENTRO ,hello@digikentro.com
DIGIQB SOLUTION,info@digiqb.com
DIGITAL FOR HUMANITY,info@digitalforhumanity.org
DIGITAL ROOAR,info@digitalrooar.com.au
DIVERSITY INFOTECH,hrdiversityinfotech@gmail.com
DOT3 SOLUTIONS,contact@dot3.tech
DOTS AND COM,contact@dotscoms.com
DSU INFOTECH,info@dsuinfotech.com
DTECH STUDIO,info@dtechstudio.in
DTI AUTOMATION PVT. LTD.,info@dtiautomation.com
DURVASA INFOTECH,hello@durvasainfotech.com
DWARAVATI,info@dwaravati.com
DWORD CORE PVT LTD,info@dwordcore.com
DYNATECH SYSTEMS,info@dynatechconsultancy.com
E2M SOLUTIONS INC,career@e2msolutions.com
ECLINICALWORKS,hr@eclinicalworks.com
EDELTA ENTERPRISE SOLUTIONS PVT. LTD,hr@edeltaes.com
EINFOCHIP,career@einfochips.com
ELAUNCH SOLUTION PVT. LTD.,info@elaunchinfotech.com
ELEGANT MICROWEB TECHNOLOGIES PVT. LTD.,jobs@elegantmicroweb.com
ELLKAY,teamellkay@ellkay.com
ELLUMINATI,info@elluminatiinc.com
EMERGING 5,info@emergingfive.com
EPISTIC TECHNOLOGIES PRIVATE LIMITED,hello@epistic.net
ESCROW INFOTECH,hr@escrowinfotech.com
ETHICS INFOTECH LLP,careers@ethicsinfotech.in
EXPOSYS DATA LABS,hr@exposysdata.com
F5 SYSTEM,info@f5.com
FALCON CYBER TECH,contact@falconcybertech.com
FIRSTSPORTZ,info@firstsportz.com
FUERTE DEVELOPER ,info@fuertedevelopers.com
FUZEMEE,team@fuzemee.com
FUZZYCLOUD,contact@fuzzycloud.in
GAGAHEALTH,contact@gagahealth.com
GATEWAY,fsd@thegatewaycorp.com
GENXEL TECHNOLOGY PVT LTD.,info@genxeltechnology.com
GETONCRM,info@getoncrm.com
GIRIRAJ INFOTECH,info@girirajdigital.com
GLIDE TECHNOLOGIES,careers@glidemtech.com
GLYSIS SOFTWARE PRIVATE LIMITED,contact@glysissoftware.com
GNFC NCODE SOLUTIONS,ahdsales@ncode.in
GOPRONTO,info@gopronto.io
GOVARDHAN INFOTECH,infotechg87@gmail.com
GROOVY WEB,"career@groovyweb.co,hr@groovyweb.co"
GROUNDTRUTH INDIA PRIVATE LIMITED,recruiting@groundtruth.com
GROW SOLUTIONS,hr@growsolutions.in
GURUGRACE CONSULTANCY SERVICES,info@gcsteq.com
HATKESH INFOTECH PVT.LTD.,info.hatkesh@gmail.com
HES-SO VALAIS-WALLIS (UNIVERSITY),info@hevs.ch
HOLOFUSE TECHNOLOGIES,holofusetechnologies@gmail.com
HYPERVECT,transform@hypervect.com
I3 DIGITAL HEALTH,careers@i3digitalhealth.com
ICE CUBE DIGITAL,hello@icecubedigital.com
IFOUR TECHNOLAB PVT. LTD.,career@ifourtechnolab.com
IGNITE INFOSYS ,info@igniteinfosys.com
IIT BOMBAY,internship@ircc.iitb.ac.in
INDAPOINT TECHNOLOGIES,info@indapoint.com
INDIA ACTIVE SOFTWARE INC.,contact@indiaactive.com
INEURON.AI,contact@ineuron.ai
INFICIAL INFOTECH,info@inficial.com
INFINITY INFOWAY,job@infinityinfoway.com
INFOCRYPT SOLUTION,info@infocryptsolution.com
INFOCUSP INNOVATIONS,inquiries@infocusp.com
INFOPERCEPT CONSULTING PVT. LTD.,career@infopercept.com
INFOSERVOPS,info@infoservops.com
INFRAVEO,hello@infraveo.com
INFYUM,hr@infyum.com
INNOVENTIX,info@innoventixsolutions.com
INTERACTIVE WARRIORS STUDIO PVT LTD,hr@interactivewarriors.com
INTERNAUTS,hello@internauts.io
INTRALOGIC IT SOLUTION,hr.intralogicitsolutions@gmail.com
INTUITIVE CLOUD,careers@intuitive.cloud
INVENTYV,info@inventyv.com
ITECHSOFT SOLUTION,info@itechsoft.co
J2ML INGOTECH PVT. LTD,hello@j2mlinfotech.com
JBSOFTS,inquiriescontact@jbsofts.net
JD INFOTECH,live.jdinfotech@gmail.com
JEMISTRY INFO SOLUTIONS LLP,info@jemistry.net
JSP DEVELOPERS PVT. LTD.,contact@jspdevelopers.com
K29 SOLUTIONS,k29solutions@gmail.com
KARMALEEN,hello@karmaleen.com
KARTUM INFOTECH,info@kartuminfotech.com
KERYAR IT SOLUTIONS,hello@keryar.com
KEY POINT TECHNOLOGIES,hr@keypoint-tech.com
KINTU DESIGNS,support@kintudesigns.com
KIWIQA,career@kiwiqa.com
KODY TECHNOLABS,hiring@kodytechnolab.com
KRISHAWEB,career@krishaweb.com
KSHATRAINFOTECH PVT LTD.,hr@kshatrainfotech.com
KURM INFOTECH,info@kurminfotech.in
L&T TECHNOLOGY SERVICES,info@ltts.com
LARSEN & TOUBRO,infodesk@larsentoubro.com 
LAUNCHPAD TECHNOLOGY,info@golaunchpad.io
LIMBANI SOFTWARES,hr@limbanisoftwares.com
LINDE ENGINEERING,contact.lg.in@linde.com 
LOGICBUZZ INFOTECH LLP,info@logicbuzzinfotech.com
LSG ASSOCIATE,info@lsgassociates.in
M SQUARE TECHNOLOGIES,hr@msquaretechnology.com
M&M,jobs.india@mm-software.com
MAA KRUPA SOLUTION IT COMPANY,info@maakrupasolutions.com
MAMO TECHNOLABS,info@mamotechnolabs.com
MASTEK,info@mastek.com
MATRIX COMSEC PVT LTD,hrd@matrixcomsec.com
MATT YOUNG MEDIA ,info@mattyoungmedia.com
MAXGEN TECHNOLOGIES PVT LTD,ahmedabad@maxgentechnologies.com
MEDITAB,recruitment@meditab.com
MEHTA SOFTECH LLP,info@mehtasoftech.com
MERITORIOUS INFOTECH,hr@meritoriousinfotech.com
MILLIARD INFOWORLD ,info@milliardinfoworld.com
MIND INVENTORY,career@mindinventory.com
MOKSH INFOTECH PVT.LTD,contact@mokshainfotech.com
MOTOROLA SOLUTIONS,Training.APAC@motorolasolutions.com
M-SQUARE TECHNOLOGIES,hr@msquaretechnology.com
MULTIDOTS,career@multidots.com
NAAZ INFOTECH,info@naazinfotech.com
NE SOLUTION,info@nesolutions.in
NEEV TECHNOLOGIES INC,careers@neevtech.com
NEOXL,info@neoxl.com
NETIZENS TECHNOLOGIES,careers@netizenstechnologies.com
NETWEB SOFTWARE,careers@netweb.biz
NETWORLD ,hr@visitnetworld.com
NG TECHASSURANCE PRIVATE LIMITED,admin@ngtech.co.in
NISYS SOFTWARE SERVICES,info@nisys.de
NUCLEAR POWER CORPORATION OF INDIA LIMITED (NPCIL),dhr@npci.co.in
NUCLEUS LAB,support@nslab.in
OASIS INFOBYTE,contact@oasisinfobyte.in
OCTOWEB INFOTECH,info@octoweb.nl
ODYSSEUS SOLUTIONS,info@odysseussolutions.com
OPSHUB TECHNOLOGIES,info@opshub.com
PALLADIUMHUB,hr@palladiumhub.com
PANAMAX INFOTECH LTD,info@panamaxil.com
PATEL JEWELLERS,careers@pateljewellers.com
PERFECT SOFTWARE,info@perfectsoftwares.com
PHOENIX BINARY SYSTEM,admin@phoenixbinarysystem.com
PHPDOTS TECHNOLOGIES,hr@tuvoc.com
PHYCOLINC TECHNOLOGIES PVT LTD,vsivasubramanian@gmail.com
PHYSICAL RESEARCH LABORATORY,info@prl.res.in
PLANET WEB SOLUTIONS ,sales@planetwebsolution.com
PLAYPOWER LABS,contact@playpowerlabs.com
PLUTOMEN,info@pluto-men.com
POULIMA INFOTECH,contact@poulimainfo.tech
PRAKASH INFOTECH,hr@prakashinfotech.com
PRIMAVERA,info@@niyantras.com
PRODEV INFOTECH,contact@prodevinfotech.com
PRODIGAL SOFTTECH INDIA PVT. LTD.,support@prodigaltech.com
PRODUCTSQUADS,info@productsquads.co
PROFITFOLIO,info@profitfolio.co
PYTHER INNOVATIONS PVT LTD,hr@pyther.com
QTONZ,hr@qtonz.com
QUADEVELOPERS,jobs@quadgen.com
QUANTUM IT INNOVATION,info@quantumitinnovation.com
QUARKS SYSTEM,info@quarkssystems.com
R B INFOTECH.,rbappotential@gmail.com
R K INFOTECH,info@rkinfotechindia.com
RAO INFOTECH,careers@raoinformationtechnology.com
RAVEN TECHNOLABS,raventechnolabs@gmail.com
RECRUITCRM,marketing@recruitcrm.io
REDLIO DESIGNS,hr@redliodesigns.com
RENTECH DIGITAL,team@rentechdigital.com
RK WEBSOFT TECHNOLOGIES PVT.LTD,hr@rkwebsofttech.com
ROCKETCHAT ( VIA GOOGLE SUMMER OF CODE ),info@rocket.chat
SAKSHI INFOWAY PVT.LTD,info@sakshiinfoway.com
SARVADHI,talent@sarvadhi.com
SATVA SOLUTIONS,info@satvasolutions.com
SCALEDGE,careers@scaledge.io
SCALELOT TECHNOLOGIES,info@scalelot.com
SCHNEIDER ELECTRIC INDIA PRIVATE LIMITED (FORMERLY KNOWN AS L&T),Mohit1.Agarwal@se.com
SHINE INFOSOFT,info@shineinfosoft.in
SIGNATURE DESIGN AND WEB SOLUTIONS,career@thesignaturepro.com
SILVERTOUCH,info@silvertouch.com
SIMFORM,info@simform.com
SIMPLIFYPI INC.,csm@simplifypi.com
SKYNET GLOBAL GROUP,hr@skynetplacments.com
SKYWINDS SOFTWARE LLP,info@skywinds.tech
SMOLLAN INDIA PRIVATE LIMITED,info@smollan.com
SNAPFIX LTD.,careers@snapfix.com
SOCOMMERZ TECHNOLOGIES,info@socommerz.com
SOFTSTORM INFOSYS,contact@softstorm.in
SOFTTECHIES,chavdamahesh@softtechies.com
SOFTWEIRDO SOLUTION ,hr@softweirdo.com
SOLUTION ONE ERP,ronak@fortunesys.com
SOLVATIVE,careers@solvative.com
"SPACE APPLICATIONS CENTRE, ISRO",srtd@sac.isro.gov.in
SPARKS TO IDEAS,info@sparkstoideas.com
SPECTRICS SOLUTIONS ,info@spectricssolutions.com
SPREADD.IO,info@spreadd.io
SQUAD TECHNOLOGIES,info@squadtechnologies.com
SSM INFOTECH SOLUTIONS PVT. LTD.,hr@ssm-infotech.com
START-TECH ACADEMY,contact@starttechacademy.com
STERP SOFTWARE PVT LTD,sales.amd@sterpsoftware.com
STPL,contact@stpl.com
SUREKHA TECHNOLOGIES,jobs@surekhatech.com
SUTISH TECH SOLUTIONS,info@sutishtechsolutions.com
SUVEN CONSULTANT & TECHNOLOGY PVT. LTD.,rocky@suvenconsultants.com
SYNOPTEK,info@synoptek.com
TALENT SYSTEMS,info@talentsystems.com
TATVASOFT,career@tatvasoft.com
TCS,careers@tcs.com
TECBLIC,hr@tecblic.com
TECH HOLDING,info@techholding.co
TECHIEBUTLER,info@techiebutler.com
TECHMATES SOLUTIONS,hr@techmates-solutions.com
TECHNOTECH INDIA,hr@technotechindia.com
TECHOMAX SOLUTION,hr@techomaxsolution.com
TECHROVER SOLUTIONS,hr@techroversolutions.com
TECHSMITH SOLUTIONS PVT. LTD,info@techsmith.in
TECPLIX TECHNOLOGIES,hire@tecplix.com
TECTONA SOFTSOLUTIONS PVT. LTD,23dce080@charusat.edu.in
TENACIOUS TECHIES,hr@tenacioustechies.com
THE WILDTIGERS TECHNOLOGIES,hr@thewildtigers.com
THOMSON REUTERS,info@thomsonreuters.com
TLK INDUSTRIES PRIVATE LIMITED ,mygoalisfix@gmail.com
TOSHAL INFOTECH,career@toshalinfotech.com
TRIDHYA TECH,info@tridhyatech.com
TRIRID TECHNOLOGIES ,info@tririd.com
TRIVENI GLOBAL SOFTWARE SERVICES LLP,hr@triveniglobalsoft.com
TRIZ INNOVATION,info@trizinnovation.com
TROOPR,hello@troopr.io
TRUCKBAZI,info@truckbazi.com
TRYON INFOTECH,info@tryoninfosoft.com
TURQUOIC,info@turquoic.com
UCI,info@uciny.com
UCI/ WEBELIGHT,career@webelight.co.in
UNITECH TECHNOCRATS PVT.LTD,info@utplindia.in
UNITEIT ,info@uniteit.in
UNUSED BRAIN,studios@unusedbrain.com
URBANO INFOTECH PVT LTD,connect@urbanoinfotech.com
URDHVA TECH PVT. LTD.,contact@urdhva-tech.com
URL ASEPTIC AUTOMATION INC.,info@urlautomation.com
VAISTRA TECHNOLOGIES PRIVATE LIMITED,hr@vaistratechnologies.com
VASUNDHARA INFOTECH LLP,info@vasundhara.io
VAYANA NETWORKS,info@vayana.com
VED TECHNOSERVE INDIA PVT.LTD,secretarial@sambhaav.com
VEDICAN TECHNOLOGY,contact@vedicantechnology.com
VIEH GROUP,info@viehgroup.com
VIHAA INFOTECH,info@vihaainfotech.com
VIITORCLOUD,careers@viitorcloud.com
VISANKA TECHNOLOGIES ,info@visankatechnologies.com
VISUREAL,sriramp.jagdale@hoya.com
VIVANSH INFOTECH,careers@vivanshinfotech.com
VOYSE DIGITAL,business@voysedigital.com
VPN INFOTECH,hr@vpninfotech.com
VRINDI,hr@vrindi.com
VRISINI TECHNOLOGIES,info@vrisini.com
WAY2CIS,macs@way2cis.com
WEB BRAINS TECHNOLOGIES PVT LTD,hr@webbrainstechnologies.com
WEB STRATEGIC,info@webstrategies.com
WEBBYGENIUS INFOTECH ,hr@webbygenius.com
WEBCARE INFOWAY,webcare.edu@gmail.com
WEBCLUES INFOTECH LLP,jobs@webcluesinfotech.com
WEBEARL TECHNOLOGIES PRIVATE LIMITED,career@webearl.com
WEBELIGHT SOLUTIONS,career@webelight.co.in
WEBITO INFOTECH,hr@webitoinfotech.com
WEBMIGRATES TECHNOLOGIES,hr.webmigrates@gmail.com
WEBMOBI TECHNOLOGIES,info@webmobitechnologies.info
WEBOSPHERE TECHNOLABS LLP ,info@webosphere.in
WEETECH SOLUTION PVT LTD,info@weetechsolution.com
WISEDV,jobs@wisedv.com
XATCH SOFTWARE INC.,info@xatchsoft.com
XTEND VALUE,info@xtendvalue.com
YORK IE- ACW,contact@york.ie
ZECHROME TECHNOLOGIES LLP,info@zechrome.com
ZENCHIP,info@zenchip.tech
ZEROBUCK TECHNOLOGIES,zerobucktechnologies@gmail.com
ZIBMA INFOTECH,hr@zibma.com
ZIGNUTS,hr@zignuts.com
Alphadev infotech private limited.,info@alphadevinfotech.com
Reliance Industries Lmt.,info@ril.com
MBH Technologies Pvt. Ltd.,careers@mbhtechnologies.com
UNIKWORK,hr@unikwork.com
Tark Technologies,connect@tarktech.com
AAGITE TECHNOLOGIES ,hr@aagitetech.com
ProjectTree,hr@projecttree.in
POTENZA GLOBAL SOLUTIONS ,jobs@potenzaglobalsolutions.com
Skyline Infosys,info@skylineinfosys.com
Nettyfy Technologies ,hr@nettyfy.com
iRoid Solutions ,hr@iroidsolutions.in
TECHUP SOFT SOLUTION,business@techupsoftsolution.com
Madhav Technologies,contact@madhavtechno.com
IIT Mandi,registrar@iitmandi.ac.in
Welwin Infotech India,infotech@welwin.com
ProweSolution Private Limited,info@prowesolution.com
The Wild tigers technologies,hr@thewildtigers.com
Cactus Creatives Pvt. Ltd.,info@cactuscreatives.com
"eSparkBiz Technologies Pvt Ltd, amd",info@esparkinfo.com
HexaScal Technologies,info@hexascal.com
"Analog Cloudtech Pvt Ltd , rajkot",support@analogcloudtech.com
"FeelTech Solutions Private Limited, amd",connect@feeltechsolutions.com
"VARNI INFOTECCH, surat",support@varniinfotech.net
"MCT IT SOLUTIONS PVT LTD, vadodara ",mct@miraclecloud-technology.com
Cloudus infotech pvt. Ltd.,info@cloudusinfotech.com
cWiser Infotech,info@cwiser.com
SADHRASYA SOFTTECH PRIVATE LIMITED,info@sadhrasya.com
rjsquare,info@rjsquareinfotech.com
Ample Infotech ,info@ampleinfotech.com
Kpeworld media tech pvt ltd,info@kpeworld.com
Param Software,mail@paramsoftware.com
Tech Elecon Pvt. Ltd.,info@techelecon.com
"Asquarex, no",connect@asquare.agency
DRDO INDUSTRY ACADEMIA SARDAR VALLABH BHAI PATEL CENTRE OFÊEXCELLENCE,sc-diasvpcoe@gujaratuniversity.ac.in
"Memento Tech, no",mementotechnologies@gmail.com
Adept digital private limited ,career@adeptdigitals.in
Izonnet Web solutions ,info@izonnet.com
Shaural infotech ,email@shaural.com
Ladila Infotech,info@ladilainfotech.com
Secure Infotech ,hr@securemetasys.com
Miracle TechnoLabs,info@miracletechnolabs.com
Digiteon,career@digiteon.com
Binary Geckos,info@binarygeckos.com
Mediaf5,info@mediaf5.com
Top Search,info@top-search.us
Dcoded Innovations LLP.,info@dcoded.in
BosLeo Technology Private Limited,hr@bosleo.com
Skyward Techno Solutions Pvt Ltd,info@skywardtechno.com
GN WEBSOFT PVT. LTD.,info@gnwebsoft.com
Teksun,info@teksun.com
Clumoss,info@clumoss.com
Digital Ipsum,hr@digitalipsum.in
Softrica Ð IT Service,"hr@softrica.com,contact@softrica.com"
Collebra,info@collabera.com
