Company Name,Website,Email(s)
FUZZYCLOUD,https://fuzzycloud.in/contact/,contact@fuzzycloud.in
GAGAHEALTH,https://internshala.com/company/gagahealth-1629950989/careers/,"complaints@internshala.com, employer@internshala.com."
GATEWAY,https://thegatewaycorp.com/globaljobs/,"fsd@thegatewaycorp.com, gateway@thegatewaycorp.com"
GENXEL TECHNOLOGY PVT LTD.,https://genxeltechnology.com/contact/,"394101info@genxeltechnology.com, contact@genxeltechnology.com"
GETONCRM,https://getoncrm.com/contact-us/,sales@getoncrm.com
GIRIRAJ INFOTECH,https://www.girirajdigital.com/contact-us/,info@girirajdigital.com
GLIDE TECHNOLOGIES,Not found,No email found
GLYSIS SOFTWARE PRIVATE LIMITED,Not found,No email found
GNFC NCODE SOLUTIONS,Not found,No email found
GOPRONTO,https://lextechsuite.com/GOPRONTO--U72900KA2022PTC158664--41649011,"sales@LawyerServices.in, info@LawyerServices.in, swaroop@gopronto.io"
GOVARDHAN INFOTECH,https://gisurat.com/govardhan/,infotechg87@gmail.com
GROOVY WEB,https://www.groovyweb.co/contact-us,"hello@groovyweb.co, career@groovyweb.co, hr@groovyweb.co"
GROOVY WEB ,https://www.groovyweb.co/contact-us,"hello@groovyweb.co, career@groovyweb.co, hr@groovyweb.co"
GROOVY WEB LLP,https://www.groovyweb.co/contact-us,"hello@groovyweb.co, career@groovyweb.co, hr@groovyweb.co"
GROUNDTRUTH INDIA PRIVATE LIMITED,https://www.groundtruth.com/jobs/,recruiting@groundtruth.com
GROW SOLUTIONS,https://in.linkedin.com/company/grow-solutions-company,hr@growsolutions.in
GURUGRACE CONSULTANCY SERVICES,https://www.salezshark.com/company/gcs-gurugrace-consultancy-service,"name@gcsteq.com., name@gcsteq.com, name@gmail.com"
HATKESH INFOTECH PVT.LTD.,Not found,No email found
HES-SO VALAIS-WALLIS (UNIVERSITY),https://www.hevs.ch/en/job-offers/,"srh@hevs.ch, info@hevs.ch"
HOLOFUSE TECHNOLOGIES,https://holofuse.netlify.app/,holofusetechnologies@gmail.com
HYPERVECT,https://hypervect.com/,transform@hypervect.com
I3 DIGITAL HEALTH,https://www.i3digitalhealth.com/home,careers@i3digitalhealth.com
ICE CUBE DIGITAL,Not found,No email found
IFOUR TECHNOLAB PVT. LTD.,https://www.ifourtechnolab.com/careers,"career@ifourtechnolab.com, urvi@ifourtechnolab.com, info@ifourtechnolab.com"
IGNITE INFOSYS ,https://igniteinfosys.com/contact-us/,"Nepal+977-9851007531info@igniteinfosys.comFollow, Emailinfo@igniteinfosys.cominfosysignite, ADDRESSinfo@igniteinfosys.comOFFICE"
IIT BOMBAY,https://www.iitb.ac.in/contact-us,"gateoffice@iitb.ac.in, jeeadv@iitb.ac.in, ceed@iitb.ac.in, uceed@iitb.ac.in"
INDAPOINT TECHNOLOGIES,Not found,No email found
INDIA ACTIVE SOFTWARE INC.,https://indiaactive.com/career,contact@indiaactive.com
INEURON.AI,https://ineuron.ai/contact-us,"SubmitFootercontact@ineuron.ai, hours.contact@ineuron.ai"
INFICIAL INFOTECH,Not found,No email found
INFINITY INFOWAY,https://infinityinfoway.com/,"job@infinityinfoway.com, info@infinityinfoway.com, support@infinityinfoway.com, info@infinityinfoway.comMobile"
INFOCRYPT SOLUTION,https://infocryptsolution.com/jobs.php,info@infocryptsolution.com
INFOCUSP INNOVATIONS,https://www.infocusp.com/contact_us,inquiries@infocusp.comAbout
INFOPERCEPT CONSULTING PVT. LTD.,https://in.linkedin.com/company/infopercept-consulting-pvt-ltd,"career@infopercept.com, Vidhi.raval@infopercept.com"
INFOSERVOPS,https://www.infoservops.com/career/,"sales@infoservops.com, info@infoservops.com"
INFRAVEO,https://www.infraveo.com/careers/,hello@infraveo.com
INFYUM,https://infyum.com/,"contact@infyum.com, hr@infyum.com"
INNOVENTIX,https://innoventixsolutions.com/contact-us/,"usa@innoventixsolutions.com, canada@innoventixsolutions.com, info@innoventixsolutions.com"
INNOVENTIX SOLUTIONS,https://innoventixsolutions.com/contact-us/,"usa@innoventixsolutions.com, canada@innoventixsolutions.com, info@innoventixsolutions.com"
INTERACTIVE WARRIORS STUDIO PVT LTD,https://in.linkedin.com/company/interactive-warriors,"hr@interactivewarriors.com, interactivewarriors@gmail.com"
INTERNAUTS,https://www.internauts.io/career/,hello@internauts.io
INTRALOGIC IT SOLUTION,https://in.linkedin.com/company/intralogicitsolutions,hr.intralogicitsolutions@gmail.com
INTUITIVE CLOUD,https://dev.intuitive.cloud/contact-us,"support@intuitive.cloud, sales@intuitive.cloud, info@intuitive.cloud, careers@intuitive.cloud"
INTUTIVE CLOUD,Not found,No email found
INVENTYV,https://www.inventyv.com/contact-us,"support@mytaxprepoffice.com, info@inventyv.com"
ITECHSOFT SOLUTION,http://www.itechsoftsolution.com/,info@itechsoft.co
J2ML INGOTECH PVT. LTD,https://www.j2mlinfotech.com/contactus,hello@j2mlinfotech.com
JBSOFTS,https://jbsofts.net/jb/contact/,inquiriescontact@jbsofts.net
JD INFOTECH,https://jdinfotech.net/contact,"live.jdinfotech@gmail.com, harry@jdinfotech.net, sales@jdinfotech.net"
JD INFOTECH ,https://jdinfotech.net/contact,"live.jdinfotech@gmail.com, harry@jdinfotech.net, sales@jdinfotech.net"
JEMISTRY INFO SOLUTIONS LLP,Not found,No email found
JSP DEVELOPERS PVT. LTD.,https://www.jspdevelopers.com/career,contact@jspdevelopers.com
K29 SOLUTIONS,Not found,No email found
KARMALEEN,https://www.karmaleen.com/contact/,"Herehello@karmaleen.comVisit, hello@karmaleen.comPhone"
KARTUM INFOTECH,https://kartuminfotech.com/careers/,"info@kartuminfotech.com, ADDRESSinfo@kartuminfotech.comOFFICE, 24606info@kartuminfotech.comFollow"
KERYAR IT SOLUTIONS,https://keryar.com/joinus,hello@keryar.com
KEY POINT TECHNOLOGIES,https://www.keypoint-tech.com/openings/,"hr@keypoint-tech.com, info@keypoint-tech.com"
KINTU DESIGNS,https://kintudesigns.com/job.html,support@kintudesigns.com
KINTU DESIGNS PVT LTD,Not found,No email found
KIWIQA,Not found,No email found
KODY TECHNOLABS,Not found,No email found
KRISHAWEB,Not found,No email found
KSHATRAINFOTECH PVT LTD.,https://in.linkedin.com/company/kshatrainfotech,"connect@neuramonks.com, hr@neuramoks.com, hr@neuramonks.com"
KURM INFOTECH,https://kurminfotech.in/contact,"info@kurminfotech.in, kurminfotech@gmail.com"
L&T TECHNOLOGY SERVICES,https://www.ltts.com/careers,"TermsPrivacySitemapinfo@ltts.com, applicant.accomodations@ltts.com"
LARSEN & TOUBRO,https://www.larsentoubro.com/corporate/contact-us/,"igrc@larsentoubro.com, infodesk@larsentoubro.com"
LAUNCHPAD TECHNOLOGY,https://www.golaunchpad.io/company/careers,info@golaunchpad.io
LIMBANI SOFTWARES,https://limbanisoftwares.com/get-quote.html,hr@limbanisoftwares.com
LINDE ENGINEERING,https://www.linde.com/contact-us,"Investor.Relations@Linde.com, juan.pelaez@linde.com, anna.davies@linde.com, contactus@linde.com"
LOGICBUZZ INFOTECH LLP,https://logicbuzzinfotech.com/career.html,info@logicbuzzinfotech.com
LSG ASSOCIATE,https://www.lucknowsupergiants.in/contact-us,support@lucknowsupergiants.in
M SQUARE TECHNOLOGIES,https://www.linkedin.com/company/msquare-technology,hr@msquaretechnology.com
M&M,https://www.mm-software.com/en/career/,"Engineeringjobs.india@mm-software.com, 9415-0info@mm-software.com"
MAA KRUPA SOLUTION IT COMPANY,Not found,No email found
MAMO TECHNOLABS,Not found,No email found
MAMO TECHNOLABS LLP,Not found,No email found
MASTEK,Not found,No email found
MASTEK (EVOSYS),Not found,No email found
MATRIX COMSEC PVT LTD,https://www.matrixcomsec.com/about-us/career/,InfoInquiry@MatrixComSec.com1800-258-7747
MATT YOUNG MEDIA ,Not found,No email found
MAXGEN TECHNOLOGIES PVT LTD,Not found,No email found
MEDITAB,https://www.meditab.com/company/our-careers,"1-844-463-3482info@meditab.com, info@meditab.com, recruitment@meditab.com, 1-844-4-Meditabinfo@meditab.com, Recruiting@meditab.com"
MEHTA SOFTECH LLP,https://www.mehtasoftech.com/contact-us/,"Info@gmail.com, info@mehtasoftech.com"
MEHTA SOFTTECH LLP,https://www.mehtasoftech.com/contact-us/,"Info@gmail.com, info@mehtasoftech.com"
MERITORIOUS INFOTECH,https://meritoriousinfotech.com/contact/,"hr@meritoriousinfotech.com, info@meritoriousinfotech.com"
MILLIARD INFOWORLD ,Not found,No email found
MIND INVENTORY,https://www.mindinventory.com/contact-us.php,"sales@mindinventory.com, career@mindinventory.com"
MOKSH INFOTECH PVT.LTD,http://www.mokshainfotech.com/,contact@mokshainfotech.com
MOTOROLA SOLUTIONS,https://learning.motorolasolutions.com/content/contact,"Training.APAC@motorolasolutions.com, trainingvideoandaccess@motorolasolutions.com, Training.LACR@motorolasolutions.com, Training.EMEA@motorolasolutions.com, partners.na@motorolasolutions.com, portal.support@motorolasolutions.com"
M-SQUARE TECHNOLOGIES,https://www.linkedin.com/company/msquare-technology,hr@msquaretechnology.com
MULTIDOTS,https://careers.multidots.com/submit-resume/,john@example.com
NAAZ INFOTECH,Not found,No email found
NE SOLUTION,https://uk.linkedin.com/company/ne-solutions-ltd,sales@nesolutions.co.uk
NEEV TECHNOLOGIES INC,https://www.neeviq.com/careers,hello@neeviq.comHQ
NEOXL,https://in.linkedin.com/company/neomeai,sagar@neomenta.com
NETIZENS TECHNOLOGIES,https://in.linkedin.com/company/netizenstechnologies,careers@netizenstechnologies.com
NETWEB SOFTWARE,https://www.netwebindia.com/career.php,"info@netwebindia.com, sakshi.k@netwebindia.com, himani.jindal@netwebindia.com, hr@netwebindia.com, upasana.srivastava@netwebindia.com, prateek.l@netwebindia.com, arun.l@netwebindia.com, urvashi.k@netwebindia.com"
NETWORLD ,https://visitnetworld.com/jobs-in-rajkot/,"hr@visitnetworld.com, info@visitnetworld.com"
NG TECHASSURANCE PRIVATE LIMITED,Not found,No email found
NISYS SOFTWARE SERVICES,Not found,No email found
NUCLEAR POWER CORPORATION OF INDIA LIMITED (NPCIL),Not found,No email found
NUCLEUS LAB,https://www.nucleusdiagnostics.com/job-openings-and-career-opportunities.html,lab@nucleusdiagnostics.com
OASIS INFOBYTE,https://oasisinfobyte.com/,"contact@oasisinfobyte.in, services.oasisinfobyte@gmail.com"
OCTOWEB INFOTECH,https://www.linkedin.com/company/octoweb,info@octoweb.nl
ODYSSEUS SOLUTIONS,Not found,No email found
OPSHUB TECHNOLOGIES,https://www.opshub.com/careers/,sales@opshub.com
PALLADIUMHUB,https://palladiumhub.com/contact,"maulik@palladiumhub.com, nikul@palladiumhub.com, hr@palladiumhub.com, sales@palladiumhub.com"
PANAMAX,Not found,No email found
PANAMAX INFOTECH LTD,Not found,No email found
PATEL JEWELLERS,https://www.pateljewellers.com/careers,"hradmin.ho@pateljewellers.co, info@pateljewellers.com, careers@pateljewellers.com"
PERFECT SOFTWARE,https://perfectsoftwares.com/contact.php,"info@perfectsoftwares.com, perfectsoftwares2020@gmail.com"
PHOENIX BINARY SYSTEM,https://phoenixbinarysystem.com/contact,admin@phoenixbinarysystem.com
PHPDOTS TECHNOLOGIES,Not found,No email found
PHYCOLINC TECHNOLOGIES PVT LTD,https://krishimandir.in/contact/,"ankit.patel@phycolinc.com, 3429sumeet@phycolinc.com"
PHYSICAL RESEARCH LABORATORY,Not found,No email found
PLANET WEB SOLUTIONS ,Not found,No email found
PLAYPOWER LABS,https://www.playpowerlabs.com/,contact@playpowerlabs.com
PLUTOMEN,https://pluto-men.com/career/,info@pluto-men.com
POULIMA INFOTECH,Not found,No email found
PRAKASH INFOTECH,https://prakashinfotech.com/culture-career,"hr@prakashinfotech.com, info@prakashinfotech.com"
PRAKASH INFOTECH ,https://prakashinfotech.com/culture-career,"hr@prakashinfotech.com, info@prakashinfotech.com"
PRIMAVERA,https://www.primavera-capital.com/contact-us/,"vcbp@primavera-capital.com, media@primavera-capital.com, ir@primavera-capital.com"
PRODEV INFOTECH,https://prodevinfotech.com/career,contact@prodevinfotech.com
PRODIGAL SOFTTECH INDIA PVT. LTD.,https://www.prodigaltech.com/careers,support@prodigaltech.com
PRODUCTSQUADS,https://productsquads.co/,9979544380info@productsquads.co
PROFITFOLIO,Not found,No email found
PYTHER INNOVATIONS PVT LTD,https://www.pyther.com/career/,"info@pyther.com, hr@pyther.com"
QTONZ,https://qtonz.com/contact-us/,"Emailhr@qtonz.comworking, info@qtonz.comWebsite, hr@hopeitz.com, jignesh@qtonz.com, hr@qtonz.comCOntact, hr@qtonz.com"
QUADEVELOPERS,https://quadgen.com/about/careers/,jobs@quadgen.com
QUANTUM IT INNOVATION,https://quantumitinnovation.com/company/contact,"Touchsales@quantumitinnovation.com, 3644Emailsales@quantumitinnovation.comQuick"
QUARKS SYSTEM,https://quarkssystems.com/career/,info@quarkssystems.com
QUARKS SYSTEM ,https://quarkssystems.com/career/,info@quarkssystems.com
R B INFOTECH.,https://rbinfotech.in/RBInfotech/career.php,rbappotential@gmail.com
R K INFOTECH,https://www.rkinfotechindia.com/contact-us/,"sales@rkinfotechindia.com, rkinfotekh@gmail.com, info@rkinfotechindia.com"
RAO INFOTECH,https://raoinformationtechnology.com/company/contact-us/,"hello@raoinformationtechnology.comFor, careers@raoinformationtechnology.com"
RAVEN TECHNOLABS,https://in.linkedin.com/company/raventechnolabs,raventechnolabs@gmail.com
RECRUITCRM,https://recruitcrm.io/open-jobs/,marketing@recruitcrm.io
REDLIO DESIGNS,https://redliodesigns.com/career,"info@redliodesigns.comJoin, hr@redliodesigns.comADDRESSAhmedabad"
REDLIO DESIGNS ,https://redliodesigns.com/career,"info@redliodesigns.comJoin, hr@redliodesigns.comADDRESSAhmedabad"
RENTECH DIGITAL,https://rentechdigital.com/contact-us,"389-9794team@rentechdigital.com, inquireshdhameliya9925@gmail.compayments, Specificationteam@rentechdigital.comSchedule"
RK WEBSOFT TECHNOLOGIES PVT.LTD,https://rkwebsofttech.com/best-it-software-company-in-anand/,"sales@rkwebsofttech.com, CVhr@rkwebsofttech.comCall"
ROCKETCHAT ( VIA GOOGLE SUMMER OF CODE ),Not found,No email found
SAKSHI INFOWAY PVT.LTD,Not found,No email found
SARVADHI,https://www.sarvadhi.com/contact,"atConnect@sarvadhi.comtalent, 9687695523connect@sarvadhi.com, 9687695523Emailtalent@sarvadhi.comApply, 3535Emailconnect@sarvadhi.comhire"
SARVADHI SOLUTIONS PVT LTD,https://www.sarvadhi.com/contact,"atConnect@sarvadhi.comtalent, 9687695523connect@sarvadhi.com, 9687695523Emailtalent@sarvadhi.comApply, 3535Emailconnect@sarvadhi.comhire"
SATVA SOLUTIONS,https://in.linkedin.com/company/satvasolutions,sales@satvasolutions.com
SCALEDGE,https://scaledge.io/Careers.html,"info@scaledge.io, careers@scaledge.io"
SCALELOT TECHNOLOGIES,https://www.scalelot.com/career,info@scalelot.com
SCHNEIDER ELECTRIC INDIA PRIVATE LIMITED,Not found,No email found
SHINE INFOSOFT,https://www.shineinfosoft.in/contactus,info@shineinfosoft.in
SIGNATURE DESIGN AND WEB SOLUTIONS,https://thesignaturepro.com/contact/,"info@thesignaturepro.com, career@thesignaturepro.com"
SILVERTOUCH,https://www.silvertouch.com/contact/,"Iconinfo@silvertouch.caContact, Iconinfo@silvertouch.com, Iconinfo@silvertouchinc.comContact, Iconinfo@silvertouchtech.co.ukContact"
SIMFORM,Not found,No email found
SIMPLIFYPI INC.,https://www.linkedin.com/company/simplifypi,vishal@simplifypi.com
SKYNET GLOBAL GROUP,https://in.linkedin.com/company/skynet-placements,"hr@skynetplacments.com, hr8@skynetplacements.com, hr8@skynetplacement.com"
SKYNETS GLOBAL SYSTEMS,https://www.skynetindia.info/careers.html,hr@skynetindia.info
SKYWINDS SOFTWARE LLP,Not found,No email found
SMOLLAN INDIA PRIVATE LIMITED,https://smollan.com/contact/,marketing@smollan.com
SNAPFIX,https://snapfix.com/contact-us,sales@snapfix.com
